displayUserNick,auctionSku,rateDate,rateContent
小***e,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-17 18:13:39,店里试穿过，尺码偏大，穿里面的话要买小一号
y***6,颜色分类:50 浅绿色;尺码:155/80A/S,2021-01-17 17:17:24,这件衣服在尺码和颜色上纠结了好久，买的时候线上没白色就买了绿色s，怕偏大买小了一码，结果去店里自提的时候居然有白色，但是只有m码，两个码数穿上就是两种不一样的感觉，小码感觉太像棉袄心了，就换了白色m，回来套了套感觉还可以，挺实用
王***3,颜色分类:50 浅绿色;尺码:165/92A/XL,2021-01-17 16:30:20,刚收到货就降价100元   联系客服服务态度差  还不给退差价  差评差评
6***a,颜色分类:09 黑色;尺码:160/88A/L,2021-01-17 16:14:36,门店试了一下，可以搭一切的外套
娴***1,颜色分类:34 驼色;尺码:155/80A/S,2021-01-17 15:58:09,是我喜欢的样式，nice
b***e,颜色分类:34 驼色;尺码:160/88A/L,2021-01-17 15:26:54,买大一号很合适，很轻，江苏现在单穿不保暖不抗风，天暖了穿吧
3***3,颜色分类:50 浅绿色;尺码:160/84A/M,2021-01-17 14:42:12,颜色绝美哈哈哈哈哈哈 就是有点显肩宽，不过我本来就肩宽
t***0,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-17 13:28:51,刚刚到货就降价一百，还不让退差价，霸王条款
t***1,颜色分类:50 浅绿色;尺码:165/92A/XL,2021-01-16 23:40:46,大了，绿色没货换不了
n***m,颜色分类:50 浅绿色;尺码:160/84A/M,2021-01-16 22:49:08,买完就降价100太气人了啊！
轻***8,颜色分类:50 浅绿色;尺码:175/108C/XXXL,2021-01-16 19:50:50,不错！
t***1,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-16 16:51:16,刚到就看到降价到399了 也不能补差价 算了 懒得来回退 还是店里方便
哐***9,颜色分类:65 宝蓝色;尺码:155/80A/S,2021-01-16 16:08:42,不错
t***0,颜色分类:34 驼色;尺码:160/88A/L,2021-01-16 15:40:32,客服态度真的想给差评！！！
l***2,颜色分类:50 浅绿色;尺码:160/84A/M,2021-01-16 14:22:00,衣服挺好，就是买了没多久就便宜100块 心塞
吵***树,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-16 13:06:38,暖和，好看，很不错哦
迷***y,颜色分类:50 浅绿色;尺码:160/84A/M,2021-01-16 11:11:16,最近天天穿，吃火锅别穿，不能洗
阿***仙,颜色分类:09 黑色;尺码:155/80A/S,2021-01-16 08:39:58,很暖
素***3,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-01-16 06:09:01,还没收到货就降价 差评
半***i,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-15 17:25:53,去年买了件长款很不错，所以今年买件短款羽绒服
卡***夫,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-15 13:25:16,在店里试穿了以后，降价买的，真香
j***5,颜色分类:01 乳白色;尺码:160/84A/M,2021-01-15 08:34:46,买给孙女冬天穿在校服里面的，宝宝说舒服暖和，优衣库官方旗舰店的东西不用说，质量杠杠滴！👍👍👍
黄***普,颜色分类:50 浅绿色;尺码:160/84A/M,2021-01-14 07:54:26,确实浅绿色好看
兰***c,颜色分类:50 浅绿色;尺码:155/80A/S,2021-01-14 00:42:54,好评，比较薄但是还算暖和，南方穿OK。
咯***o,颜色分类:50 浅绿色;尺码:170/100B/XXL,2021-01-13 21:49:28,买大了一号不过懒得退啦
凤***0,颜色分类:01 乳白色;尺码:160/88A/L,2021-01-13 17:02:09,很实用
比***z,颜色分类:50 浅绿色;尺码:165/92A/XL,2021-01-13 11:49:14,又轻又暖，好春天啊，稳～
这***的,颜色分类:34 驼色;尺码:160/88A/L,2021-01-13 08:38:16,优衣库的物流真的是相当的快，给妈妈买的，颜色她不太爱，但是很轻薄很舒服，材质她相当喜欢。
k***1,颜色分类:65 宝蓝色;尺码:160/84A/M,2021-01-12 15:46:39,好评
m***7,颜色分类:50 浅绿色;尺码:160/88A/L,2021-01-12 11:40:43,172cm，肩宽39，60kg，这个尺寸还挺宽松的。我是穿在里面当内搭。但如果再小一号袖子有点短。颜色和款式我喜欢。实用性也很好。
小***诺,颜色分类:50 浅绿色;尺码:160/88A/L,2021-01-11 14:46:27,买给奶奶穿 好像尺码有点大
t***8,颜色分类:34 驼色;尺码:160/88A/L,2021-01-11 14:05:21,衣服是宽松的 就是小贵 前几天店里卖399犹豫了没买 在这里卖499 买了哈 质量很好 喜欢
t***7,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-11 09:24:33,衣服不错 老婆很喜欢
l***5,颜色分类:34 驼色;尺码:150/76A/XS,2021-01-11 00:36:33,买了没几天还没确认收货就降价100，还不退差价
f***q,颜色分类:34 驼色;尺码:165/92A/XL,2021-01-10 20:15:44,挺酷的。
j***9,颜色分类:50 浅绿色;尺码:155/80A/S,2021-01-10 17:45:16,很好
阳***5,颜色分类:65 宝蓝色;尺码:160/88A/L,2021-01-10 15:30:35,399买的 很好穿 买完还想再买件黑色的已经变成499了
夏***8,颜色分类:01 乳白色;尺码:155/80A/S,2021-01-10 15:07:54,等不到第二波降价了 小码销的太快 这件是真的好搭配 还想入绿色
陈***的,颜色分类:50 浅绿色;尺码:160/84A/M,2021-01-10 14:26:54,这是一个需要穿两件羽绒服的冬天
爱***瓣,颜色分类:65 宝蓝色;尺码:170/100B/XXL,2021-01-10 13:56:48,买给***～很适合～
d***6,颜色分类:50 浅绿色;尺码:155/80A/S,2021-01-10 04:13:09,399到手的，保暖度还可以，是想穿在大衣里面的
