displayUserNick,auctionSku,rateDate,rateContent
t***8,颜色分类:61 水蓝色;尺码:155/80A/S,2021-01-15 12:22:14,不错😊
j***～,颜色分类:00 白色;尺码:170/100B/XXL,2021-01-14 09:38:58,一直想买这个，一直在等降价，降了50块钱过段入手！
t***7,颜色分类:00 白色;尺码:155/80A/S,2021-01-14 07:17:21,优衣库衬衫上身是真的好看！裁剪真很适合本亚洲少女😂哈哈哈。白色很正，质地柔软。不过偏薄，里面衬衣服挑选有点难。还是很爱
爱***哏,颜色分类:00 白色;尺码:155/80A/S,2021-01-13 23:08:32,内搭还不错，单穿有点儿透
s***9,颜色分类:09 黑色;尺码:160/84A/M,2021-01-13 17:47:30,一如既往的好
t***3,颜色分类:09 黑色;尺码:160/88A/L,2021-01-13 14:57:02,喜欢的
m***e,颜色分类:00 白色;尺码:160/84A/M,2021-01-13 14:43:49,不错
小***5,颜色分类:00 白色;尺码:155/80A/S,2021-01-13 14:43:04,为了结婚照买的衬衫，感觉有点撑不起来。面料还不错
z***n,颜色分类:00 白色;尺码:150/76A/XS,2021-01-13 13:23:51,真的很舒服，尺码偏大，洗完不皱
花***a,颜色分类:09 黑色;尺码:155/80A/S,2021-01-13 13:07:37,非常好看，把粉红色也买了
w***g,颜色分类:09 黑色;尺码:160/88A/L,2021-01-12 09:16:20,衣服版型挺好，就是季节没到，好看 天暖些了再穿
f***8,颜色分类:61 水蓝色;尺码:155/80A/S,2021-01-12 07:39:04,"优衣库基础款衬衫不错，面料柔软，颜色也好，比较宽松，158cm,51kg没有M号的，买的s号肩宽袖长都刚好。"
t***7,颜色分类:00 白色;尺码:160/84A/M,2021-01-11 16:37:05,很舒服，柔软
浅***1,颜色分类:00 白色;尺码:160/84A/M,2021-01-10 22:45:17,不是棉的料子，但应该相对开始没那么容易皱，透要穿打底，柔软，总体来说不错
d***1,颜色分类:00 白色;尺码:155/80A/S,2021-01-10 14:08:18,穿着舒服，大小正好
t***3,颜色分类:09 黑色;尺码:155/80A/S,2021-01-09 19:27:40,非常好！喜欢
深***一,颜色分类:00 白色;尺码:155/80A/S,2021-01-09 15:35:18,165cm，50kg，穿着合适，如果喜欢稍微宽松点的姐妹可以参考大一码来穿，白色微透，需要穿打底背心。面料柔软，会再入其他颜色的。
快***6,颜色分类:00 白色;尺码:155/80A/S,2021-01-08 14:40:27,毛衣的打底衫，不薄不厚合适，柔软舒适，洗完还是要熨烫一下的。
t***9,颜色分类:00 白色;尺码:155/80A/S,2021-01-08 11:55:01,挺好的 有点透
张***1,颜色分类:09 黑色;尺码:160/84A/M,2021-01-08 08:56:16,实体店试过后购买
李***明,颜色分类:61 水蓝色;尺码:155/80A/S,2021-01-07 18:05:30,容易出褶，其他挺好的
n***9,颜色分类:00 白色;尺码:155/80A/S,2021-01-07 11:17:45,在店里试过，，当时199没买，看到149果断买了，如果再降价还想买个黑色
蓝***3,颜色分类:00 白色;尺码:160/84A/M,2021-01-07 09:55:52,挺好。就是有点透
安***光,颜色分类:00 白色;尺码:150/76A/XS,2021-01-07 01:45:44,买了很多件衬衫了，质量还是一如既往的好，舒服
女***2,颜色分类:09 黑色;尺码:155/80A/S,2021-01-06 21:07:51,衬衫买了两件，黑白色各一件，布料很轻薄，亲肤，还是比较适合内搭，不是太适合作外套，因为太薄了，我156 100斤，s码刚好，垂感也是棒棒的，好评啦～
女***2,颜色分类:00 白色;尺码:155/80A/S,2021-01-06 21:07:51,衬衫买了两件，黑白色各一件，布料很轻薄，亲肤，还是比较适合内搭，不是太适合作外套，因为太薄了，我156 100斤，s码刚好，垂感也是棒棒的，好评啦～
w***e,颜色分类:00 白色;尺码:160/84A/M,2021-01-06 20:59:20,等了很久才降价的款。 上身效果：很显瘦，买肩膀正好的尺码就行。 厚薄度：薄款，叠穿的话，一年四季都可以穿的款。
卡***1,颜色分类:61 水蓝色;尺码:155/80A/S,2021-01-06 19:45:41,质量是不错的，我160，体重56公斤，s号合适
f***3,颜色分类:00 白色;尺码:160/84A/M,2021-01-06 18:02:39,此用户没有填写评论!
小***灵,颜色分类:09 黑色;尺码:155/80A/S,2021-01-06 11:02:29,不给退货，店大欺人，以后不会再光顾了
芳***n,颜色分类:00 白色;尺码:170/100B/XXL,2021-01-05 20:05:29,轻薄，就是太大了点吧
z***9,颜色分类:00 白色;尺码:160/84A/M,2021-01-05 16:01:32,很好。
c***1,颜色分类:61 水蓝色;尺码:155/80A/S,2021-01-05 15:34:58,149有点贵，可是降价就没这个颜色了。买了。
心***6,颜色分类:61 水蓝色;尺码:155/80A/S,2021-01-05 14:35:04,面料好，颜色也不错👍
懂***l,颜色分类:00 白色;尺码:165/92A/XL,2021-01-05 12:34:48,太好穿了   穿着舒适   版型好看   非常好
a***d,颜色分类:00 白色;尺码:160/88A/L,2021-01-03 15:05:49,真的无限回购
虾***莹,颜色分类:09 黑色;尺码:155/80A/S,2021-01-02 20:56:40,同款衬衫买四件不同色了，太喜欢了！
志***9,颜色分类:61 水蓝色;尺码:160/88A/L,2021-01-01 19:24:59,打开包裹就看见了衣服上的红色印记，估计是被顾客试穿的时候蹭上的口红&hellip;&hellip;
s***c,颜色分类:09 黑色;尺码:160/88A/L,2020-12-31 15:09:30,这个系列的颜色差不多都买了。
s***c,颜色分类:61 水蓝色;尺码:160/88A/L,2020-12-31 15:09:30,钟爱这个云朵衬衫，穿上超级舒服。
a***1,颜色分类:09 黑色;尺码:165/92A/XL,2020-12-30 19:18:35,好好好好好好。
美***9,颜色分类:00 白色;尺码:160/88A/L,2020-12-29 21:23:29,特别舒服，再买一件
m***o,颜色分类:61 水蓝色;尺码:165/92A/XL,2020-12-29 09:01:17,确实上身效果佳
p***0,颜色分类:00 白色;尺码:160/84A/M,2020-12-26 09:28:19,很干净的衬衫，衬衫必须优衣库的
喻***儿,颜色分类:00 白色;尺码:160/88A/L,2020-12-25 09:18:55,最喜欢
与***享,颜色分类:61 水蓝色;尺码:155/80A/S,2020-12-24 20:22:54,衣服质量材质非常好，舒适，颜色很好看，特别软，就是价格一点没少
明***o,颜色分类:00 白色;尺码:160/84A/M,2020-12-23 12:33:21,便宜实穿
q***1,颜色分类:09 黑色;尺码:155/80A/S,2020-12-23 10:38:28,很柔软，款式简单，好搭配。
q***1,颜色分类:00 白色;尺码:155/80A/S,2020-12-23 10:38:28,很柔软，款式简单，好搭配。
风***9,颜色分类:61 水蓝色;尺码:160/88A/L,2020-12-23 09:39:28,还好
心***9,颜色分类:61 水蓝色;尺码:160/84A/M,2020-12-23 08:13:48,应该能穿，之前拍的大了一码！
t***1,颜色分类:00 白色;尺码:155/80A/S,2020-12-22 14:07:47,在商场试完买的。没赶上双十一活动价。微透。
肖***哲,颜色分类:00 白色;尺码:150/76A/XS,2020-12-22 01:18:32,很透，但好看，可惜就是透
林***0,颜色分类:09 黑色;尺码:160/84A/M,2020-12-21 17:09:52,很不错，里面搭保暖内衣，下搭长裙，刚刚好。
吃***心,颜色分类:00 白色;尺码:150/76A/XS,2020-12-21 11:47:56,质量不错，就是买贵了199
张***1,颜色分类:09 黑色;尺码:160/84A/M,2020-12-21 07:40:52,好的不得了
a***i,颜色分类:00 白色;尺码:160/84A/M,2020-12-20 18:17:27,尺码合适，但是感觉面料比实体店的要薄一些
r***1,颜色分类:09 黑色;尺码:155/80A/S,2020-12-20 16:37:28,自提的，不用等半个月的快递送了，西安韵达快递太慢了。
s***3,颜色分类:61 水蓝色;尺码:155/80A/S,2020-12-20 14:14:16,舒服
猫***2,颜色分类:00 白色;尺码:160/84A/M,2020-12-19 00:41:57,质量挺好
t***9,颜色分类:00 白色;尺码:160/88A/L,2020-12-17 22:23:14,用来代替工作服的，这种布料挺好打理，不容易皱。
胡***5,颜色分类:00 白色;尺码:160/84A/M,2020-12-16 17:05:36,此用户没有填写评论!
g***n,颜色分类:09 黑色;尺码:160/84A/M,2020-12-15 19:25:19,物美价廉。
米***雅,颜色分类:61 水蓝色;尺码:160/84A/M,2020-12-14 23:09:43,太太太好看了而且不怕皱！！！白色的很透不建议单穿，蓝色可以。
旭***4,颜色分类:00 白色;尺码:160/84A/M,2020-12-14 22:30:47,很透哦
臣***呦,颜色分类:09 黑色;尺码:160/84A/M,2020-12-14 09:25:08,好
j***n,颜色分类:09 黑色;尺码:160/84A/M,2020-12-13 18:55:27,面料挺舒服的，挺好的。
h***2,颜色分类:00 白色;尺码:160/88A/L,2020-12-13 18:04:42,非常舒服，白衬衫很百搭
小***0,颜色分类:00 白色;尺码:160/84A/M,2020-12-13 16:02:03,此用户没有填写评论!
承***沫,颜色分类:00 白色;尺码:155/80A/S,2020-12-13 15:39:08,物美价廉，内搭的首选
小***～,颜色分类:00 白色;尺码:155/80A/S,2020-12-13 14:35:25,129到手，衣服摸着很舒服，天冷了也没怎么穿，料子挺好，163 94穿s码刚好
里***鱼,颜色分类:00 白色;尺码:155/80A/S,2020-12-13 13:46:38,此用户没有填写评论!
豌***8,颜色分类:11 粉红色;尺码:165/92A/XL,2020-12-12 23:37:55,不错，很舒适
